Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Pitruchaya Sea View Cottages by Vyom Trails,4.1,goa,0,0,0,0,0,0,0,0,0,1617.0
The LaLiT Golf & Spa Resort Goa,4.4,goa,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,11855.0
"Whoopers Boutique Hotel, Anjuna",4.9,goa,0,0,0,0,0,0,0,0,0,1612.0
"The Hosteller Goa, Candolim",4.7,goa,Free Wi-Fi,Free parking,Pool,Air conditioning,Breakfast,0,0,0,0,1315.0
Tropical Bay,3.8,goa,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Bar,Kitchen,Kid-friendly,0,1344.0
Cola Goa Beach Resort,4.3,goa,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access,Bar,12744.0
Blue Lagoon Resort | Room & Restaurant,3.9,goa,Villa,Sleeps 8,3 bedrooms,Fireplace,Paid parking,Free Wi-Fi,No air conditioning,No crib,No elevator,4487.0
Radisson Blu Resort Goa Cavelossim Beach,4.4,goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,15898.0
"Vivanta Goa, Miramar",4.5,goa,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Fitness center,Restaurant,Room service,11788.0
Mayfair on Sea,4.5,goa,0,0,0,0,0,0,0,0,0,10620.0
"The Zuri White Sands, Goa Resort & Casino",4.4,goa,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,16795.0
The Queeny,3.4,goa,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,1435.0
"Holiday Inn Goa Candolim, an IHG Hotel",4.7,goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,15503.0
"Taj Holiday Village Resort and Spa, Goa",4.7,goa,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,26550.0
ibis Mumbai Vikhroli,4.5,mumbai,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Room service,Airport shuttle,7392.0
The Lalit Mumbai,4.4,mumbai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,14278.0
JW Marriott Mumbai Juhu,4.6,mumbai,5-star hotel,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Breakfast,Beach access,5725.0
Empire Royale Hotel,4.4,mumbai,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Kitchen,Full-service laundry,0,1582.0
"The Taj Mahal Palace, Mumbai",4.7,mumbai,5-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,33021.0
Grand Hyatt Mumbai Hotel & Residences,4.5,mumbai,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Pet-friendly,Fitness center,14025.0
Shahana Guest House,3.1,mumbai,2-star hotel,Breakfast,Free Wi-Fi,Air conditioning,Full-service laundry,0,0,0,0,635.0
SAINA RESORT,3.6,mumbai,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Accessible,Kid-friendly,5082.0
Stay Villa Dormitory (for Male and Female),5.0,mumbai,Bungalow,Sleeps 28,28 bedrooms,7 bathrooms,Air conditioning,Kid-friendly,Kitchen,Smoke-free,No fitness center,952.0
Hotel Milan International,3.9,mumbai,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1389.0
Gagal Home BKC Suite | Rooms & Caretaker,3.7,mumbai,Sleeps 4,2 bedrooms,Air conditioning,Elevator,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib,4208.0
Qubestay Airport Capsule Hotel And Hostel,4.1,mumbai,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,0,0,0,1334.0
"Ginger Mumbai, Goregaon",4.0,mumbai,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,4031.0
The Lalit Mumbai,4.4,mumbai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,11101.0
Royal Palms Villas with Private Pool,4.0,mumbai,Free Wi-Fi,Paid parking,Pool,Spa,Kitchen,Full-service laundry,0,0,0,20536.0
The Leela Mumbai - Resort Style Business Hotel,4.5,mumbai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,11210.0
Hotel Nest N Rest - Mumbai,4.4,mumbai,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,0,0,0,1116.0
Novotel Mumbai Juhu Beach,4.3,mumbai,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Beach access,11785.0
Airport inn residency,3.7,mumbai,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1109.0
Courtyard by Marriott Mumbai International Airport,4.4,mumbai,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,11103.0
JW Marriott Mumbai Sahar,4.6,mumbai,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,12963.0
The Westin Mumbai Garden City,4.5,mumbai,5-star hotel,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,Breakfast,12963.0
"Holiday Inn Mumbai International Airport, an IHG Hotel",4.5,mumbai,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10619.0
Novotel Mumbai Juhu Beach,4.3,mumbai,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Beach access,11800.0
Fairfield by Marriott Lucknow,4.3,lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,4816.0
Novotel Lucknow Gomti Nagar,4.5,lucknow,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Bar,6551.0
Townhouse 1166 Bsa Townhouse,3.7,lucknow,Apartment,Sleeps 3,1 bedroom,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,No elevator,1296.0
Hyatt Regency Lucknow,4.4,lucknow,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4480.0
Fairfield by Marriott Lucknow,4.3,lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,4814.0
Radisson Lucknow City Center,4.3,lucknow,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,4189.0
Taj Mahal Lucknow,4.6,lucknow,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10936.0
The Regnant,4.2,lucknow,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,3892.0
Hilton Garden Inn Lucknow,4.3,lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5663.0
Ginger Lucknow,4.0,lucknow,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,2664.0
DCorbiz Hotel & Restaurant,4.0,lucknow,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2108.0
Hotel Aryan,3.8,lucknow,2-star hotel,Free Wi-Fi,Room service,Kitchen,Full-service laundry,Kid-friendly,0,0,0,587.0
Hotel Golden Orchid,4.0,lucknow,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,2218.0
Fortune Park BBD - Hotel in Lucknow,4.3,lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7197.0
Hotel Millenia Regency Lucknow,4.2,lucknow,Free breakfast,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,2814.0
Golden Tulip Lucknow,4.2,lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7271.0
The Grand Radiant-3 Star Hotel in Lucknow,4.0,lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2453.0
Comfort Inn,4.1,lucknow,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3394.0
"lebua Lucknow, Saraca Estate",4.3,lucknow,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,7621.0
Comfort Hotel Vista,4.6,lucknow,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,6160.0
Hilton Garden Inn Lucknow,4.3,lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5664.0
The Park Hotel,4.4,kolkata,5-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7295.0
"The Oberoi Grand, Kolkata",4.4,kolkata,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4534.0
"The Oberoi Grand, Kolkata",4.4,kolkata,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6048.0
The Elite Apartment Hotel,4.7,kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,784.0
Golden Parkk Hotel,4.0,kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Spa,Bar,Restaurant,Room service,3790.0
Aristro Club,4.0,kolkata,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,1344.0
The Panash (Hotel and Banquets),4.4,kolkata,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1565.0
HOTEL ORCHID INN,4.2,kolkata,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,0,0,1027.0
Bubble Beds Kolkata,4.3,kolkata,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,Business center,862.0
Hotel Platinum,3.9,kolkata,3-star hotel,Free breakfast,Wi-Fi,Pool,Air conditioning,Pet-friendly,Restaurant,Kitchen,Full-service laundry,1464.0
Aster Guest House Kolkata,4.0,kolkata,Free breakfast,Free Wi-Fi,Air conditioning,Pet-friendly,Paid parking,Restaurant,Full-service laundry,Kid-friendly,0,2885.0
Hotel Radiant (Kolkata),4.0,kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2731.0
Hotel Afsha,3.4,kolkata,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,0,1285.0
backpackers park,4.0,kolkata,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Kitchen,Full-service laundry,0,0,1103.0
Hotel Mayfair tower,4.0,kolkata,0,0,0,0,0,0,0,0,0,1680.0
"The Manor House, Kolkata",4.4,kolkata,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,3880.0
Barsana Boutique Hotel,4.3,kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,3719.0
Hotel Pan Asia Continental (A Unit Of Sharda Resources Limited),4.1,kolkata,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,3074.0
Hotel Emirates,4.0,kolkata,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,3014.0
The Aster Heritage,4.7,kolkata,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Room service,Full-service laundry,Business center,Kid-friendly,2778.0
Calcutta Bungalow| Heritage Rooms,4.9,kolkata,Sleeps 13,6 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,8604.0
"BhubanBari historic house airy twin room w 2 baths, kitchen, garden terrace",5.0,kolkata,House,Sleeps 2,1 bedroom,2 bathrooms,Kid-friendly,Kitchen,Smoke-free,Free parking,No air conditioning,2856.0
Hotel Pawan Putra,4.1,kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Paid parking,Restaurant,Full-service laundry,0,2436.0
"FabHotel Orion Crystal - Hotel in Park Circus, Kolkata",4.1,kolkata,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2652.0
The Elanza Hotel,4.1,bangalore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3968.0
"Country Inn & Suites by Radisson, Bengaluru Hebbal Road",4.1,bangalore,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4480.0
Kadackal Farmhouse | Rooms & Pool,4.2,bangalore,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,No crib,No elevator,No fitness center,4012.0
"Country Inn & Suites by Radisson, Bengaluru Hebbal Road",4.1,bangalore,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4480.0
Kings Palace Manyata,3.2,bangalore,Sleeps 8,3 bedrooms,Air conditioning,Elevator,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,891.0
Prestige Residency,3.1,bangalore,Free Wi-Fi,Breakfast,Room service,Kitchen,Full-service laundry,0,0,0,0,609.0
Hotel TAP Paradise,3.4,bangalore,1-star hotel,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,539.0
Regenta Inn Grand Koramangala,4.6,bangalore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,3192.0
Guhantara,3.7,bangalore,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Full-service laundry,4803.0
Palm Meadows Resort,4.5,bangalore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6745.0
Holiday Inn Express & Suites Bengaluru OMR,4.4,bangalore,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,4930.0
Howard Johnson by Wyndham Bengaluru Hebbal,4.1,bangalore,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,4636.0
The Signature Inn,3.8,bangalore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,756.0
"Radisson Blu Hotel, Atria Bengaluru",4.4,bangalore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6300.0
SAP Golden Grande,4.0,bangalore,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,792.0
Royal Regency Lodge,3.8,bangalore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Room service,Airport shuttle,Full-service laundry,Accessible,909.0
The Chancery Pavilion,4.1,bangalore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5376.0
Bangalore Gate Hotel & Conferences,4.1,bangalore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2804.0
"Holiday Inn Bengaluru Racecourse, an IHG Hotel",4.4,bangalore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,6298.0
Gokulam Grand Hotel & Spa,4.3,bangalore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6228.0
"Taj Yeshwantpur, Bengaluru",4.5,bangalore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,11800.0
Attide Boutique Hotel,4.2,bangalore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3863.0
Hyatt Place Hyderabad Banjara Hills,4.3,hyderabad,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,11209.0
Trident Hotel Hyderabad,4.5,hyderabad,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,10974.0
The Wilderness Retreat,4.0,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Full-service laundry,Kid-friendly,4928.0
Hyderabad Marriott Hotel & Convention Centre,4.4,hyderabad,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7112.0
Citadel Hotels & Conventions By Vinnca,4.4,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,3640.0
Hotel Rainbow Tower,4.5,hyderabad,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1187.0
"Deccan Serai Hotel, HITEC CITY, HYDERABAD",4.2,hyderabad,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3436.0
Taramati Baradari Resort,4.2,hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,2520.0
The Grand Plaza Hotel,3.8,hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible,1240.0
Taj Falaknuma Palace,4.7,hyderabad,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,46573.0
"Lemon Tree Hotel, Gachibowli, Hyderabad",4.2,hyderabad,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4910.0
Hotel Shubham Palace - Karmanghat,4.3,hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2371.0
RESTEL STUDIO FLATS,4.2,hyderabad,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,Airport shuttle,2576.0
Ellaa Hotel,4.8,hyderabad,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4349.0
Zibe Hyderabad by GRT Hotels,4.5,hyderabad,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4520.0
Ananya Eco Resorts,3.9,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kid-friendly,0,0,0,3808.0
Hotel Daspalla Hyderabad,4.2,hyderabad,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5446.0
Capital O Jubilee Banjara Suites Near City Center Mall,3.2,hyderabad,Apartment,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,1044.0
Luxury House in Hyderabad With Chef and Driver,5.0,hyderabad,Sleeps 6,3 bedrooms,4 bathrooms,Kitchen,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,10115.0
"Taj Krishna, Hyderabad",4.5,hyderabad,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,11800.0
The Wilderness Retreat,4.0,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Full-service laundry,Kid-friendly,5668.0
Treebo Trend South Avenue With Roadside View,3.8,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,9558.0
The Bull Boutique Hotel,4.3,pondicherry,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,4129.0
Aashikha Farm House,4.8,pondicherry,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Room service,Kitchen,Airport shuttle,1974.0
HOMESTAY HOTEL LA VILLA PONDI CHÉRIE GUESTHOUSE ROOMS,4.3,pondicherry,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,Restaurant,904.0
La Grrande Malar - The Boutique Hotel Pondicherry,4.4,pondicherry,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,2344.0
Treebo Trend Grace Inn,4.2,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,9698.0
Hotel Bon Sejour,3.8,pondicherry,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,4415.0
Esparan Heritage,4.3,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,1990.0
La Maison Pondichéry - Heritage Guesthouse,4.4,pondicherry,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Beach access,Restaurant,Room service,Airport shuttle,Full-service laundry,3846.0
Lotus Comfort- A Pondy Hotel,3.6,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly,1734.0
Pleasant Inn,3.9,pondicherry,1-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,1016.0
A La Villa Creole,4.2,pondicherry,3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,1659.0
Hotel Le Royal Park,4.1,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3415.0
Raj Residency,4.2,pondicherry,1-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,1593.0
Hotel Ram International,3.9,pondicherry,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,1939.0
Prince Park Farm House,3.9,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2258.0
Hotel D'Inn,3.6,pondicherry,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,1190.0
Hotel Annamalai International,4.0,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3724.0
Nomad House,4.5,pondicherry,Free Wi-Fi,Air conditioning,Kitchen,Full-service laundry,0,0,0,0,0,1381.0
Villa Sentosa,4.1,pondicherry,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,2168.0
Her View I Luxe Room & Kitchen,3.2,pondicherry,Sleeps 12,4 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib,3306.0
Maison Petite Singapore,3.9,pondicherry,House,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Smoke-free,Free parking,Free Wi-Fi,No airport shuttle,2521.0
Hotel Gargee Grand | Best Hotel in Patna,4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4956.0
HOTEL AMALFI GRAND,4.1,patna,4-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,4004.0
Hotel Fortune..,3.6,patna,3-star hotel,Free Wi-Fi,Paid parking,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0,1200.0
HOTEL AMALFI GRAND,4.1,patna,4-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,2935.0
Hotel Bodhi Tree - Best Hotel in Patna | Hotels Near Patna junction Railway Station and Patna airport,4.1,patna,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2438.0
"Lemon Tree Premier, Patna",4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6472.0
The Grand Empire | Best 4 Star Luxury Hotel in Patna,4.0,patna,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,4662.0
Hotel Gargee Grand | Best Hotel in Patna,4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4956.0
Ghar Aangan Resort,3.9,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,2902.0
The Park Pride,4.2,patna,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,0,0,2837.0
"Hotel Virasat Retreat, Opposit Medanta Hospital,Patna",4.0,patna,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,1712.0
Buddha Heritage,4.0,patna,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,3015.0
Hotel Maurya,4.3,patna,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,10112.0
Hotel Mundrika Deluxe,3.2,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,1300.0
